id,listing_url,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,pastBooking,Average Weekly Earning,
14052306,https://www.airbnb.com/rooms/14052306,2.02E+13,4/2/17,1421509,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75532354,-122.5084929,House,Private room,3,2.5,1,2,Real Bed,,75.00,,,,,1,10.00,30,90,3 days ago,30,60,90,121,4/2/17,244,272.3076923,
1142101,https://www.airbnb.com/rooms/1142101,2.02E+13,4/2/17,5300981,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75726938,-122.500994,House,Entire home/apt,5,2,3,2,Real Bed,1660,300.00,1750.00,,,100.00,6,50.00,3,21,3 weeks ago,0,0,19,71,4/2/17,294,351.9230769,
10906924,https://www.airbnb.com/rooms/10906924,2.02E+13,4/2/17,24593392,,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.7615373,-122.4857256,House,Private room,2,1,1,1,Real Bed,,65.00,,,,,1,0.00,2,1125,5 days ago,0,0,0,60,4/2/17,305,1696.153846,
5760881,https://www.airbnb.com/rooms/5760881,2.02E+13,4/2/17,12866375,Outer Sunset,Outer Sunset,San Francisco,CA,94116,San Francisco,US,United States,37.74963799,-122.5060998,House,Private room,2,1,1,1,Real Bed,,125.00,775.00,,95.00,20.00,1,0.00,1,1125,2 weeks ago,25,53,83,358,4/2/17,7,381.25,
3386024,https://www.airbnb.com/rooms/3386024,2.02E+13,4/2/17,4033726,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75176591,-122.5049039,Apartment,Entire home/apt,2,1,1,1,Real Bed,,100.00,,,500.00,100.00,2,100.00,2,7,14 months ago,0,0,0,0,4/2/17,365,16.82692308,
13867534,https://www.airbnb.com/rooms/13867534,2.02E+13,4/2/17,81996788,,Outer Sunset,San Francisco,CA,,San Francisco,US,United States,37.76194322,-122.4802331,Apartment,Private room,2,1,1,1,Real Bed,,69.00,,,,10.00,1,0.00,2,15,7 months ago,0,0,0,0,4/2/17,365,701.9230769,
7852469,https://www.airbnb.com/rooms/7852469,2.02E+13,4/2/17,28918797,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75546338,-122.5080952,House,Entire home/apt,6,1.5,2,3,Real Bed,,250.00,1550.00,5600.00,250.00,75.00,6,50.00,3,30,3 days ago,0,3,6,67,4/2/17,298,484.3269231,
9611854,https://www.airbnb.com/rooms/9611854,2.02E+13,4/2/17,49730892,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76394785,-122.4996286,Apartment,Entire home/apt,2,1,1,1,Real Bed,,190.00,,,500.00,90.00,1,0.00,3,1125,2 weeks ago,16,46,46,46,4/2/17,319,1432.692308,
14257108,https://www.airbnb.com/rooms/14257108,2.02E+13,4/2/17,37161006,,Outer Sunset,San Francisco,CA,94116,San Francisco,US,United States,37.74537753,-122.5074062,Apartment,Private room,2,1,1,1,Real Bed,,199.00,,,,,1,0.00,2,14,2 months ago,1,31,60,60,4/2/17,305,1165.576923,
11497890,https://www.airbnb.com/rooms/11497890,2.02E+13,4/2/17,60550654,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75653456,-122.5088026,Apartment,Entire home/apt,2,1,0,1,Real Bed,,130.00,,,,50.00,1,0.00,2,15,13 months ago,0,0,0,0,4/2/17,365,1167.211538,
